编码,省份
11 ,北京市
43 ,湖南省
12 ,天津市 
44 ,广东省
13 ,河北省 
45 ,广西壮族自治区
14 ,山西省
46 ,海南省
15 ,内蒙古自治区
50 ,重庆市
21 ,辽宁省 
51 ,四川省
22 ,吉林省   
52 ,贵州省
23 ,黑龙江省
53 ,云南省
31 ,上海市
54 ,西藏自治区
32 ,江苏省
61 ,陕西省
33 ,浙江省
62 ,甘肃省
34 ,安徽省
63 ,青海省
35 ,福建省
64 ,宁夏回族自治区
36 ,江西省
65 ,新疆维吾尔自治区
37 ,山东省
71 ,台湾省
41 ,河南省
81 ,香港特别行政区
42 ,湖北省
82 ,澳门特别行政区
